product_id,product_name,brand,category,sub_category,unit_cost,unit_price
1,Product_1,BrandB,Healthcare,Capsule,25.39,42.31
2,Product_2,BrandC,Pain Relief,Liquid,13.66,22.76
3,Product_3,BrandB,Personal Care,Capsule,11.41,19.01
4,Product_4,BrandA,Pain Relief,Liquid,27.37,45.62
5,Product_5,BrandB,Pain Relief,Capsule,11.19,18.65
6,Product_6,BrandB,Healthcare,Capsule,20.74,34.57
7,Product_7,BrandC,Vitamins,Tablet,6.97,11.62
8,Product_8,BrandC,Healthcare,Liquid,12.99,21.65
9,Product_9,BrandA,Healthcare,Capsule,17.12,28.54
10,Product_10,BrandB,Personal Care,Tablet,15.87,26.45
11,Product_11,BrandB,Vitamins,Liquid,6.26,10.43
12,Product_12,BrandB,Healthcare,Tablet,6.61,11.01
13,Product_13,BrandA,Vitamins,Capsule,3.97,6.61
14,Product_14,BrandB,Healthcare,Liquid,8.45,14.09
15,Product_15,BrandA,Healthcare,Capsule,8.23,13.72
16,Product_16,BrandB,Healthcare,Liquid,16.91,28.18
17,Product_17,BrandB,Pain Relief,Tablet,27.5,45.83
18,Product_18,BrandA,Healthcare,Capsule,24.1,40.16
19,Product_19,BrandB,Personal Care,Liquid,29.14,48.57
20,Product_20,BrandB,Healthcare,Liquid,5.81,9.69
21,Product_21,BrandB,Healthcare,Liquid,4.18,6.97
22,Product_22,BrandB,Healthcare,Liquid,20.09,33.49
23,Product_23,BrandB,Personal Care,Tablet,15.53,25.88
24,Product_24,BrandA,Vitamins,Capsule,28.18,46.96
25,Product_25,BrandB,Vitamins,Liquid,11.15,18.58
26,Product_26,BrandB,Healthcare,Tablet,8.3,13.84
27,Product_27,BrandC,Healthcare,Liquid,17.67,29.45
28,Product_28,BrandB,Pain Relief,Liquid,29.63,49.38
29,Product_29,BrandC,Vitamins,Capsule,21.34,35.56
30,Product_30,BrandA,Pain Relief,Liquid,6.38,10.63
31,Product_31,BrandA,Personal Care,Tablet,17.26,28.76
32,Product_32,BrandC,Pain Relief,Tablet,26.14,43.56
33,Product_33,BrandB,Healthcare,Tablet,9.09,15.15
34,Product_34,BrandB,Pain Relief,Capsule,6.57,10.95
35,Product_35,BrandA,Vitamins,Tablet,9.69,16.15
36,Product_36,BrandB,Personal Care,Capsule,22.82,38.04
