transaction_id,transaction_date,store_id,product_id,quantity,unit_price,discount_amount,total_amount
1,2022-07-15,5,86,3,8.61,0.71,25.12
2,2024-06-20,18,3,2,19.01,1.28,36.74
3,2022-02-24,6,55,3,37.66,0.0,112.98
4,2022-03-11,18,2,3,22.76,3.15,65.13
5,2022-01-30,2,58,4,20.63,2.83,79.69
6,2023-09-29,17,69,2,13.27,2.38,24.16
7,2023-05-17,20,67,1,33.78,3.95,29.83
8,2023-06-26,7,2,3,22.76,1.42,66.86
9,2022-08-18,8,27,1,29.45,5.61,23.84
10,2024-11-30,9,60,1,8.24,0.9,7.34
11,2024-11-15,13,62,3,25.71,1.94,75.19
12,2024-11-16,18,14,1,14.09,1.71,12.38
13,2023-06-03,17,70,3,35.53,3.62,102.97
14,2024-02-10,15,51,4,19.53,3.77,74.35
15,2022-08-30,5,14,2,14.09,1.83,26.35
16,2022-12-09,19,35,1,16.15,2.06,14.09
17,2022-07-18,12,67,3,33.78,2.55,98.79
18,2023-07-28,14,7,4,11.62,1.42,45.06
19,2024-02-14,13,49,1,16.75,1.85,14.9
20,2022-11-16,11,96,4,20.44,3.28,78.48
21,2022-02-01,16,69,2,13.27,0.67,25.87
22,2023-11-10,9,14,4,14.09,0.91,55.45
23,2023-06-03,1,11,2,10.43,1.25,19.61
24,2022-11-08,17,58,4,20.63,2.36,80.16
25,2024-12-06,9,28,5,49.38,4.4,242.5
26,2024-09-19,2,41,5,15.61,2.9,75.15
27,2023-10-06,5,18,4,40.16,1.33,159.31
28,2023-07-18,12,99,1,27.38,3.13,24.25
29,2024-11-15,20,64,1,16.52,2.57,13.95
30,2023-05-17,9,26,1,13.84,2.57,11.27
31,2024-05-11,2,66,2,23.76,2.44,45.08
32,2022-07-13,7,15,5,13.72,0.93,67.67
33,2024-10-24,9,61,1,39.42,7.81,31.61
34,2022-08-09,8,55,5,37.66,4.34,183.96
35,2023-10-11,9,68,2,18.44,2.56,34.32
36,2023-08-13,1,74,5,43.36,4.58,212.22
37,2023-05-04,4,76,2,25.58,3.04,48.12
38,2024-09-16,4,53,1,30.62,1.08,29.54
39,2024-11-23,4,50,1,13.06,2.6,10.46
40,2023-03-27,17,50,2,13.06,1.86,24.26
41,2024-06-27,8,95,1,24.14,1.61,22.53
42,2022-02-01,14,8,4,21.65,0.42,86.18
43,2024-03-09,3,27,2,29.45,5.48,53.42
44,2023-04-27,16,26,4,13.84,1.04,54.32
45,2024-03-21,6,96,5,20.44,0.26,101.94
46,2023-09-14,9,3,3,19.01,3.5,53.53
47,2023-02-01,10,94,4,17.23,0.42,68.5
48,2023-01-05,8,8,4,21.65,3.58,83.02
49,2022-08-22,5,40,3,10.11,0.01,30.32
50,2024-01-25,5,26,2,13.84,2.49,25.19
51,2023-08-29,12,69,4,13.27,1.66,51.42
52,2022-11-13,6,20,5,9.69,0.87,47.58
53,2023-08-02,8,38,3,6.34,1.01,18.01
54,2022-06-10,11,73,3,30.23,5.89,84.8
55,2023-04-18,18,53,5,30.62,0.4,152.7
56,2023-04-19,11,47,1,48.84,7.77,41.07
57,2023-02-26,14,4,5,45.62,6.75,221.35
58,2024-07-23,11,91,4,18.04,1.12,71.04
59,2022-10-12,13,72,1,5.33,0.64,4.69
60,2022-03-16,10,21,4,6.97,0.34,27.54
61,2022-11-05,7,1,1,42.31,0.28,42.03
62,2022-10-07,12,25,5,18.58,3.4,89.5
63,2024-10-11,6,16,4,28.18,0.75,111.97
64,2022-06-16,8,77,1,34.42,5.18,29.24
65,2023-12-20,9,56,3,21.49,3.79,60.68
66,2024-12-15,17,30,2,10.63,1.1,20.16
67,2024-01-01,19,68,5,18.44,3.52,88.68
68,2023-02-19,19,74,4,43.36,0.87,172.57
69,2022-11-25,12,15,1,13.72,1.78,11.94
70,2024-08-23,10,30,2,10.63,0.78,20.48
71,2024-04-18,14,76,5,25.58,4.73,123.17
72,2024-11-20,7,60,2,8.24,0.54,15.94
73,2023-06-19,1,100,1,25.19,0.18,25.01
74,2023-08-04,14,87,5,9.08,1.56,43.84
75,2022-05-07,5,31,3,28.76,5.28,81.0
76,2023-05-29,8,3,2,19.01,0.12,37.9
77,2023-02-27,20,92,3,43.72,3.72,127.44
78,2024-03-29,10,97,5,12.08,0.97,59.43
79,2023-07-29,10,76,4,25.58,4.35,97.97
80,2024-11-24,9,99,4,27.38,5.16,104.36
81,2024-02-26,7,73,4,30.23,2.36,118.56
82,2024-07-19,19,93,4,6.45,0.19,25.61
83,2024-03-16,20,76,4,25.58,1.56,100.76
84,2023-03-08,17,1,4,42.31,6.04,163.2
85,2024-09-07,3,14,4,14.09,1.74,54.62
86,2022-05-07,13,63,1,20.15,3.94,16.21
87,2023-08-15,16,25,5,18.58,2.95,89.95
88,2022-03-07,14,57,3,39.74,1.17,118.05
89,2023-11-13,9,71,4,16.02,1.06,63.02
90,2022-07-04,10,55,3,37.66,2.89,110.09
91,2024-06-10,19,98,3,10.82,1.95,30.51
92,2022-09-15,2,85,1,33.9,6.57,27.33
93,2023-12-26,15,63,2,20.15,1.35,38.95
94,2023-01-14,20,83,3,31.31,0.25,93.68
95,2024-01-24,8,30,5,10.63,1.21,51.94
96,2023-11-27,7,54,2,15.05,2.82,27.28
97,2023-08-02,6,100,2,25.19,1.87,48.51
98,2022-07-17,10,76,5,25.58,2.29,125.61
99,2024-06-06,6,76,5,25.58,0.08,127.82
100,2023-01-15,7,68,4,18.44,0.84,72.92
101,2022-06-24,12,63,5,20.15,0.88,99.87
102,2023-01-26,2,91,5,18.04,2.38,87.82
103,2024-06-10,13,36,4,38.04,2.92,149.24
104,2022-03-13,9,65,1,45.47,6.4,39.07
105,2023-05-18,6,29,4,35.56,1.44,140.8
106,2022-06-17,20,42,1,40.99,2.52,38.47
107,2022-03-14,3,57,4,39.74,4.0,154.96
108,2022-05-22,7,78,1,6.94,1.37,5.57
109,2024-08-27,10,43,5,33.23,5.53,160.62
110,2022-06-27,13,95,3,24.14,0.73,71.69
111,2022-08-27,7,64,3,16.52,1.84,47.72
112,2023-08-08,20,2,4,22.76,2.31,88.73
113,2022-06-24,2,49,5,16.75,3.16,80.59
114,2023-08-28,4,53,4,30.62,5.98,116.5
115,2022-03-16,20,97,1,12.08,0.55,11.53
116,2023-07-07,8,79,5,34.86,6.54,167.76
117,2023-07-16,19,52,5,27.47,4.28,133.07
118,2022-06-17,18,16,4,28.18,5.34,107.38
119,2024-09-17,13,9,2,28.54,3.37,53.71
120,2024-12-13,5,94,5,17.23,0.63,85.52
121,2023-05-11,18,5,4,18.65,0.96,73.64
122,2023-08-13,18,83,4,31.31,2.0,123.24
123,2022-06-28,18,94,4,17.23,2.18,66.74
124,2022-07-27,3,5,2,18.65,1.02,36.28
125,2023-11-02,3,93,4,6.45,0.27,25.53
126,2023-07-02,13,25,4,18.58,1.72,72.6
127,2022-07-30,20,41,5,15.61,0.57,77.48
128,2022-11-13,18,81,4,32.97,4.2,127.68
129,2022-08-24,7,15,1,13.72,1.08,12.64
130,2022-05-03,11,3,2,19.01,0.86,37.16
131,2024-07-27,10,90,5,25.24,0.63,125.57
132,2024-10-31,5,14,3,14.09,1.71,40.56
133,2024-08-26,3,22,4,33.49,3.34,130.62
134,2022-09-01,12,71,5,16.02,2.64,77.46
135,2024-05-19,8,9,1,28.54,1.42,27.12
136,2023-06-11,17,31,1,28.76,4.92,23.84
137,2024-10-03,2,13,4,6.61,0.49,25.95
138,2024-10-29,16,61,2,39.42,3.79,75.05
139,2022-09-24,18,9,3,28.54,4.66,80.96
140,2024-08-28,13,74,2,43.36,7.74,78.98
141,2024-12-02,9,17,1,45.83,8.21,37.62
142,2022-08-21,12,47,3,48.84,0.41,146.11
143,2022-12-04,8,5,3,18.65,2.04,53.91
144,2023-12-25,2,96,3,20.44,2.91,58.41
